time,ghi,direct,dhi,temp_c,cloud_pct,wind_ms
2023-01-01 00:00:00+00:00,0.0,0.0,0.0,8.0,88,6.9
2023-01-01 01:00:00+00:00,0.0,0.0,0.0,8.0,99,7.2
2023-01-01 02:00:00+00:00,1.0,0.0,1.0,8.1,11,7.6
2023-01-01 03:00:00+00:00,75.0,28.0,47.0,9.5,13,8.7
2023-01-01 04:00:00+00:00,234.0,142.0,92.0,12.0,0,6.9
2023-01-01 05:00:00+00:00,392.0,275.0,117.0,14.4,0,6.5
2023-01-01 06:00:00+00:00,509.0,378.0,131.0,16.2,0,6.3
2023-01-01 07:00:00+00:00,567.0,429.0,138.0,17.3,0,5.5
2023-01-01 08:00:00+00:00,560.0,423.0,137.0,18.0,0,6.0
2023-01-01 09:00:00+00:00,489.0,360.0,129.0,18.3,21,5.9
2023-01-01 10:00:00+00:00,360.0,243.0,117.0,18.2,37,5.8
2023-01-01 11:00:00+00:00,190.0,98.0,92.0,17.4,23,5.0
2023-01-01 12:00:00+00:00,51.0,18.0,33.0,16.8,86,4.9
2023-01-01 13:00:00+00:00,0.0,0.0,0.0,15.8,49,1.1
2023-01-01 14:00:00+00:00,0.0,0.0,0.0,14.9,35,1.8
2023-01-01 15:00:00+00:00,0.0,0.0,0.0,12.0,0,3.9
2023-01-01 16:00:00+00:00,0.0,0.0,0.0,10.6,0,5.5
2023-01-01 17:00:00+00:00,0.0,0.0,0.0,10.8,0,5.6
2023-01-01 18:00:00+00:00,0.0,0.0,0.0,11.2,0,5.4
2023-01-01 19:00:00+00:00,0.0,0.0,0.0,9.3,0,7.3
2023-01-01 20:00:00+00:00,0.0,0.0,0.0,8.6,0,8.1
2023-01-01 21:00:00+00:00,0.0,0.0,0.0,8.1,0,8.5
2023-01-01 22:00:00+00:00,0.0,0.0,0.0,7.3,0,9.2
2023-01-01 23:00:00+00:00,0.0,0.0,0.0,8.9,0,6.1
2023-01-02 00:00:00+00:00,0.0,0.0,0.0,6.5,0,5.1
2023-01-02 01:00:00+00:00,0.0,0.0,0.0,6.7,0,4.6
2023-01-02 02:00:00+00:00,1.0,0.0,1.0,6.3,0,5.0
2023-01-02 03:00:00+00:00,76.0,30.0,46.0,8.8,0,6.4
2023-01-02 04:00:00+00:00,233.0,132.0,101.0,12.1,0,4.0
2023-01-02 05:00:00+00:00,404.0,295.0,109.0,15.0,0,3.1
2023-01-02 06:00:00+00:00,520.0,397.0,123.0,16.6,0,2.0
2023-01-02 07:00:00+00:00,571.0,435.0,136.0,17.5,0,2.4
2023-01-02 08:00:00+00:00,565.0,428.0,137.0,18.0,0,4.1
2023-01-02 09:00:00+00:00,495.0,367.0,128.0,18.2,0,5.8
2023-01-02 10:00:00+00:00,370.0,258.0,112.0,17.9,0,7.0
2023-01-02 11:00:00+00:00,208.0,124.0,84.0,17.0,0,4.9
2023-01-02 12:00:00+00:00,55.0,22.0,33.0,15.2,0,3.7
2023-01-02 13:00:00+00:00,0.0,0.0,0.0,14.1,4,1.3
2023-01-02 14:00:00+00:00,0.0,0.0,0.0,13.3,0,2.2
2023-01-02 15:00:00+00:00,0.0,0.0,0.0,12.8,0,3.9
2023-01-02 16:00:00+00:00,0.0,0.0,0.0,12.4,0,5.2
2023-01-02 17:00:00+00:00,0.0,0.0,0.0,12.2,0,4.3
2023-01-02 18:00:00+00:00,0.0,0.0,0.0,11.7,0,5.0
2023-01-02 19:00:00+00:00,0.0,0.0,0.0,11.0,0,5.1
2023-01-02 20:00:00+00:00,0.0,0.0,0.0,10.4,12,5.9
2023-01-02 21:00:00+00:00,0.0,0.0,0.0,9.5,37,6.0
2023-01-02 22:00:00+00:00,0.0,0.0,0.0,8.5,54,4.1
2023-01-02 23:00:00+00:00,0.0,0.0,0.0,7.8,100,2.4
2023-01-03 00:00:00+00:00,0.0,0.0,0.0,6.0,100,1.8
2023-01-03 01:00:00+00:00,0.0,0.0,0.0,6.5,100,4.7
2023-01-03 02:00:00+00:00,1.0,0.0,1.0,6.7,100,5.5
2023-01-03 03:00:00+00:00,47.0,2.0,45.0,7.8,100,5.9
2023-01-03 04:00:00+00:00,139.0,18.0,121.0,9.7,100,5.7
2023-01-03 05:00:00+00:00,259.0,57.0,202.0,11.1,0,4.5
2023-01-03 06:00:00+00:00,430.0,224.0,206.0,13.6,18,6.7
2023-01-03 07:00:00+00:00,566.0,420.0,146.0,15.3,0,7.7
2023-01-03 08:00:00+00:00,566.0,429.0,137.0,16.2,0,8.9
2023-01-03 09:00:00+00:00,497.0,369.0,128.0,16.6,0,9.4
2023-01-03 10:00:00+00:00,372.0,260.0,112.0,16.5,0,9.7
2023-01-03 11:00:00+00:00,211.0,127.0,84.0,15.8,0,9.7
2023-01-03 12:00:00+00:00,58.0,23.0,35.0,11.9,0,6.4
2023-01-03 13:00:00+00:00,0.0,0.0,0.0,10.7,0,7.7
2023-01-03 14:00:00+00:00,0.0,0.0,0.0,10.0,0,7.9
2023-01-03 15:00:00+00:00,0.0,0.0,0.0,9.6,0,8.7
2023-01-03 16:00:00+00:00,0.0,0.0,0.0,8.9,0,9.2
2023-01-03 17:00:00+00:00,0.0,0.0,0.0,8.2,0,7.9
2023-01-03 18:00:00+00:00,0.0,0.0,0.0,7.6,0,7.1
2023-01-03 19:00:00+00:00,0.0,0.0,0.0,7.3,0,7.3
2023-01-03 20:00:00+00:00,0.0,0.0,0.0,7.3,0,8.7
2023-01-03 21:00:00+00:00,0.0,0.0,0.0,7.1,0,8.7
2023-01-03 22:00:00+00:00,0.0,0.0,0.0,6.8,0,8.7
2023-01-03 23:00:00+00:00,0.0,0.0,0.0,6.6,0,8.4
2023-01-04 00:00:00+00:00,0.0,0.0,0.0,5.4,53,8.5
2023-01-04 01:00:00+00:00,0.0,0.0,0.0,5.7,100,8.1
2023-01-04 02:00:00+00:00,1.0,0.0,1.0,5.9,100,8.9
2023-01-04 03:00:00+00:00,60.0,15.0,45.0,7.1,98,10.0
2023-01-04 04:00:00+00:00,173.0,57.0,116.0,9.1,45,11.2
2023-01-04 05:00:00+00:00,348.0,181.0,167.0,11.3,4,8.6
2023-01-04 06:00:00+00:00,515.0,375.0,140.0,13.2,0,8.4
2023-01-04 07:00:00+00:00,578.0,435.0,143.0,14.8,0,8.7
2023-01-04 08:00:00+00:00,576.0,439.0,137.0,15.8,0,8.7
2023-01-04 09:00:00+00:00,507.0,378.0,129.0,16.4,0,8.5
2023-01-04 10:00:00+00:00,381.0,268.0,113.0,16.5,0,8.5
2023-01-04 11:00:00+00:00,217.0,131.0,86.0,15.9,0,9.3
2023-01-04 12:00:00+00:00,60.0,25.0,35.0,11.1,0,6.1
2023-01-04 13:00:00+00:00,0.0,0.0,0.0,10.0,0,7.4
2023-01-04 14:00:00+00:00,0.0,0.0,0.0,9.5,0,7.7
2023-01-04 15:00:00+00:00,0.0,0.0,0.0,8.5,0,7.1
